时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-08-26,劢微机器人,物流,A+轮,数千万人民币,"信天创投（领投）, 梅花创投, Plug and Play",15000,物流、物流装备、机器人,劢微机器人是场内智能物流解决方案提供商。以无人叉车/AMR为硬件载体，通过机器视觉及完整上层系统赋能，为客户提供完整的智能制造及智慧仓储解决方案。硬件产品包括：各类无人叉车及AMR；软件系统包括：WMS、WCS、现场管理系统及多种视觉解决方案。,陈文成 创始人&CEO 陈文成，劢微机器人创始人&CEO。  
2021-08-25,TartanSense,智能硬件,A轮,500万美元,"Omnivore（领投）, Blume Ventures, FMC Ventures（领投）",16250,智能硬件、机器人、机器人,TartanSense是一家印度农业科技机器人研发商，旨在利用深层技术研发专注于农业经济的机器人解决方案。目前，该公司正致力于创造具有更好视野的小型机器人，以便有效、精确地清除一些受损、患病以及受传染的农作物。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-24,Upstream Security,汽车交通,C轮,6200万美元,"Salesforce, Glilot Capital Partners, La Maison, Nationwide, Mitsui Sumitomo Insurance（领投）, I.D.I. Insurance, Delek US, Volvo Group  Venture Capital, 57 Stars’ NextGen Mobility Fund",201500,汽车交通、自动/无人驾驶、机器人,Upstream Security是一家自动驾驶技术研发商，通过把安全层迁移到云端，保护汽车、远程信息处理服务器和服务器上运行的应用之间的数据中心的安全。通过机器学习组件收集的数据可以将异常行为与正常行为区分开来。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-20,Osaro,传统制造,C轮,3000万美元,"Founders Fund, AME Cloud Ventures, King River Capital, Octave Ventures（领投）, Octave Ventures, J17 Capital, Tomales Bay Capital, iRobot Corporation",97500,传统制造、化工产业、机器人,Osaro是旧金山一家研究机器人深度强化学习的初创公司，其开发的机器智能软件结合了感官知觉和判定能力，帮助计算机和机器人系统能够更加有快速有效地进行试错学习。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-19,Rapid Robotics,智能硬件,B轮,3670万美元,"Kleiner Perkins Caufield & Byers(KPCB全球)（领投）, Tiger Global老虎海外（领投）, NEA恩颐投资-New Enterprise Associates, Greycroft Partners, Bee Partners, 468 Capital",119275,智能硬件、机器人、机器人,Rapid Robotics是一家美国快速机器操作员机器人研发商，可以在几个小时内部署到生产环境中，而不需要编程和其他机器人知识，该系统在机器人即服务(RaaS)模式下提供。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-19,海柔创新KUBO库宝,智能硬件,C轮,数千万美元,"五源资本（领投）, 红杉资本中国, 源码资本, 鼎珮投资VMS Group, 华登国际, 势能资本",1170000,智能硬件、机器人、机器人,海柔创新专注于箱式仓储机器人系统研发设计，实现机器人本体、底层定位算法、控制系统、机器人调度、智能仓储管理系统等核心元素的自主研发覆盖并已进行专利布局。成功自主研发首个箱式仓储机器人系统库宝HAIPICK，以机器人技术和人工智能算法为核心，为客户降本增效，打造高效、智能、柔性、定制化的仓储自动化解决方案及全流程服务。,"陈宇奇 CEO 陈宇奇，深圳市海柔创新科技有限公司创始人。香港理工电子系学士；苏黎世理工机器人学硕士肄业。2014年在香港创立plugtech。
 徐圣东 CTO 徐圣东，KUBO库宝机器人CTO，浙江大学机械系本科，苏黎世理工机器人学硕士。深圳帕格精密系统有限公司CTO。硕士期间在IROS、ROBIO各发表一篇论文。于2015年开始仓储机器人项目。 "
2021-08-18,天创机器人,智能硬件,B轮,近亿人民币,"新松投资（领投）, 赛天资本（领投）, 瑞奕资本",50000,智能硬件、机器人、机器人,天创机器人是一家工业级运维机器人生产商，提供基于机器人和AI智能应用产品的多场景智能运维设备和服务，主要客户包括发电企业、电网企业、市政、轨交、医疗、石化、矿产等有智能运维需求的B端客户，目前拥有核电巡检履带机器人、光伏电站清扫机器人、轨道式巡检机器人、轮式巡检机器人、电力协作机器人、电厂设备全寿期状态管理平台、智能化配电房解决方案等诸多自主可控的智能运维相关产品。,雷凌 CEO 毕业于英国埃塞克斯大学，电子工程相关专业。 
2021-08-18,伯镭科技,企业服务,战略投资,2亿人民币,国电投,152000,企业服务、行业信息化及解决方案、机器人,伯镭科技是一家机器智能与数据服务解决方案提供商，专注于研究多种机器的互联互通并实现集群化智能化作业以及机器所采集的数据价值的挖掘。公司利用创新的软硬件技术打造了一个包括自动驾驶、智能数据采集以及云端大数据智能分析等功能模块在内的智能机器人作业平台，便于客户大规模部署。目前，伯镭科技的产品已经服务于矿山运营、光伏巡检、园区管理等多个垂直领域的客户。,胡心怡 创始人兼CEO 本科毕业于上海交通大学，后获得中欧国际工商学院MBA学位。曾在德国卡尔斯鲁厄大学和美国杜克大学留学。先后就职于BOSCH、Danaher等世界500强公司，有丰富的战略、管理、市场营销经验。 杨扬 联合创始人兼CTO 上海交通大学机器人学博士，香港理工大学校友。主攻方向为计算机视觉及人工智能。上海科学技术奖、陈嘉庚青少年发明奖得主。 
2021-08-17,Syrius炬星,智能硬件,B轮,2000万美元,"字节跳动（领投）, 联想创投, 红杉资本中国, 明势资本, 真成投资, 创茵资本Tryin Capital, PKSHA SPARX Algorithm Fund",130000,智能硬件、机器人、机器人,Syrius炬星是一家自主移动和物流机器人公司。产品已销往日本、新加坡、欧洲，在全球多个物流中心落地使用。Syrius炬星用机器人和人工智能技术，为仓储物流和制造业提供智能运输服务。通过将自主移动机器人及智能仓储系统进行紧密结合，Syrius炬星可实时帮助全球客户优化拣选作业。,蒋超 创始人 & CEO 前 Google X 实验室 Project Tango 项目负责人；曾在美国和日本工作，先后供职于摩托罗拉、NVIDIA等公司。 罗璇 联合创始人 & 总经理 前阿里巴巴公司机器人业务产品总监，曾在腾讯、猎豹移动等公司承担核心产品的负责人，毕业于西安交通大学。 刘俊斌 联合创始人 & 首席科学家 计算机科学博士，前澳大利亚国立研究院科学家；计算机视觉、几何视觉、深度学习领域资深专家； 发表数十篇专业学术论文，在相关行业有多年研究经验。 
2021-08-15,Miko,智能硬件,C轮,2900万美元,"IvyCap Ventures, YourNest Venture Capital, Chiratae Ventures, IIFL",94250,智能硬件、机器人、机器人,Miko是一家印度机器人公司。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-14,Agilis Robotics,智能硬件,天使轮,1000万人民币,,5000,智能硬件、机器人、机器人,"Agilis Robotics是一家手术机器人研发商，Agilis Robotics研发的手术机器人系统未来可以开拓应用于人体不同的器官，除了上腹部（主要针对呼吸道），还有下腹部（大肠道等），还有膀胱、尿道。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-13,Path Robotics,智能硬件,C轮,1亿美元,"Tiger Global老虎海外（领投）, 硅谷银行Silicon Valley Bank",325000,智能硬件、机器人、机器人,Path Robotics是一家机器人焊接单元研发商，专注于机器人技术、自动化以及软件和数据库解决方案。它开发了解决一般问题的方法并将它们开发的方法应用于制造。他们思考如何让机器学习、适应和解决问题。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-13,作为科技,智能硬件,战略投资,千万级人民币,恒洲信投资,5000,智能硬件、机器人、机器人,"作为科技是一家大小便智能护理机器人研发商，公司围绕人口老龄化的转型升级需求，专注于失能失智人群护理领域，倾力打造机器人护理+智能护理平台+智慧医疗护理体系，致力于成为医疗健康领域内智能护理辅具设备的优质服务商。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-13,博清科技,智能硬件,战略投资,未透露,"凯旋创投（领投）, 力合科创（力合创投）, 方正和生投资",50000,智能硬件、机器人、机器人,博清科技是一家爬行焊接机器人研发商，旗下产品包括无轨导全位置爬行焊接机器人、平面自主移动焊接机器人等，具有自主识别焊缝、弯曲焊缝等功能，主要应用于油气化工、造船业、核电、水电、新能源等领域。,冯消冰 创始人 冯消冰，北京博清科技有限公司董事长 
2021-08-12,Camsense,企业服务,B+轮,近亿人民币,"基石资本（领投）, 国信弘盛, 中航资本",50000,企业服务、行业信息化及解决方案、机器人,Camsense是一家专注于视觉空间定位技术和位置追踪系统研发的计算机视觉技术公司。通过公司自主创新的高性能空间定位算法，可以在低成本的硬件基础上，为机器人、工业、医疗等行业提供极具竞争力的人机交互产品。目前，产品涵盖激光雷达、高精度定位系统。,"周琨 CEO 周琨，欢创科技CEO。 王健 联合创始人 1996年毕业于西安交通大学机电一体化专业，获学士学位，毕业后一直从事半导体主芯片的市场推广及销售，对消费电子，通讯，以及IT市场有深刻的理解。
工作经历：先后在松下、Zoran、C2micro等知名半导体外企工作过，历任销售经理，市场及销售总监，区域总经理，主导过DVD、DTV、DSC、handset、Internet tv 主芯片在国内的推广，有过很多成功案例。 戴琼海 首席科学家 清华大学自动化系教授、博导、副系主任。2012年国家技术发明一等奖获得者、973首席科学家、长江学者、杰出青年基金获得者。主要研究领域为：3D图像处理、3D图像显示、光场计算。 "
2021-08-10,苗米科技,智能硬件,Pre-A轮,数千万人民币,"兴瑞万嘉, 君德TIS, 星辰基金",15000,智能硬件、智能家居、机器人,苗米科技是一家无线智能感知产品研发商，专注于智能路由器、安防监控、系统集成和智能家居领域，为用户提供基于Wifi雷达技术的无线人体感知系统，应用于智能人机交互领域应用。,苏瀚 创始人 苏瀚，苗米科技创始人。 
2021-08-09,ispace technologies,智能硬件,C轮,4600万美元,incubator Fund,149500,智能硬件、无人机、机器人,ispace是一家太空航天初创公司，主要进行空间资源勘探服务，致力于开发微型机器人，来寻找将人类生命延伸至太空的必要资源。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-09,司羿智能,智能硬件,Pre-A轮,数千万人民币,道远资本,15000,智能硬件、机器人、机器人,司羿智能是一家康复机器人研发商，专注于医疗康复领域产品的研发、生产、销售。主要产品包括康复机器人手套、下肢软体外骨骼等，可适用于手脚功能受损的患者，具有重量轻、安全、操作简单等特点。,"尹刚刚 创始人 尹刚刚，司羿智能创始人，吉林大学机械设计及理论硕士。有着近十年的机器人从业经验，2014年开始从事康复机器人研发，先后为日本企业与大学研究开发刚性外骨骼、机器人护理床、智能助力行器等前沿产品。
 "
2021-08-02,立德机器人,智能硬件,天使轮,未透露,"分享投资, 光远数科",500,智能硬件、机器人、机器人,立德机器人是由香港科技大学固高科技集团孵化与投资，在冲压自动化领域唯一拥有中国自主核心技术的团队。总部位于粤港澳大湾区核心区深圳前海自贸区。其开发的分布式驱动控制技术和千兆网工业总线冲压机器人，广泛应用在汽车覆盖件冲压、汽车热冲压、家电、小家电、餐具、厨具等行业的冲压自动化领域。截止目前，团队已经成功获得一汽模具、宇通客车、长安汽车、中国一拖、吉利汽车、特斯拉、一汽大众、日本松下、韩国三星、德国双立人等客户订单与项目合作机会。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-08-02,InVia Robotics,智能硬件,C轮,3000万美元,"M12（领投）, Upfront Ventures, Embark Ventures, Qualcomm Ventures（领投）, Hitachi Ventures, Point 72",97500,智能硬件、机器人、机器人,InVia Robotics是一家为电子商务机构提供“机器人即服务”（robot-as-a-service）供应链管理平台的公司。公司致力于进一步推动个性化‘机器人及服务’解决方案的发展，以优化仓库性能并提高客户的生产力。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-30,甲壳虫智能,智能硬件,天使轮,数千万人民币,"凯辉基金, 万物资本",15000,智能硬件、机器人、机器人,甲壳虫智能是一家清洁机器人研发商，旗下基于机器人技术应用，为用户提供智能机器人等产品服务，帮助用户解决室内环境清洁的问题，主打产品包括XWOW晓舞全自动洗地机器人等。,"郑权 CEO 郑权，CEO，有16年以上互联网&智能硬件产品经验，先后任职于IBM&微软亚太硬件研发中心，后任绿米联创副总裁&门锁中心总经理，从0到1的打造了行业TOP1智能门锁爆品，单SKU累计出货量突破100万台。 钟智渊 CTO 钟智渊，CTO，有18年智能硬件产品研发经验，曾就职于施耐德电气&微软亚洲硬件研发中心，此前为绿米联创研发总监&首席工程师，是国内首个HomeKit - ZigBee智能家居网关系统的开发者。 梁铭 COO 梁铭，COO，有20年集团企业战略管理及资本市场经验，曾为Apple全球供应链负责人，从0到1建立Apple供应链资产物联网体系。

 "
2021-07-30,ESWIN奕斯伟,先进制造,B轮,30亿人民币,"中信证券（领投）, 金石投资（领投）, 中国互联网投资基金, 陕西金融控股集团, 毅达资本, 众为资本, 国寿投资, 芯动能投资, 三行资本",2100000,先进制造、集成电路、机器人,ESWIN奕斯伟是一家集成电路领域产品和服务提供商，核心事业涵盖芯片与方案、硅材料、先进封测三大领域。芯片与方案事业围绕移动终端、智慧家居、智慧交通、工业物联网等应用场景，为客户提供显示、智慧连接、智能计算和多媒体SoC等四类芯片及解决方案。硅材料事业主要包括12英寸全球先进制程硅单晶抛光片和外延片。先进封测事业主要包括芯片后端封测、COF卷带、板级集成封测三类业务。,汤哲东 CEO 汤哲东，北京奕斯伟科技创始人、CEO，曾在京东方工作。 王东升 董事长 王东升，董事长，浙江东阳人，工学硕士，财务、系统工程及半导体产业资深专家。1993年，王东升创立京东方。他领导京东方历经二十余年，成长为全球显示领域领先企业；他提出显示产业“生存定律”，被业界称为“王氏定律”；他提出“半导体显示”概念，明晰了业界对各类新型显示技术的界定；他带领京东方开创了中国半导体显示产业新格局，解决了中国大陆“缺芯少屏”的屏的问题，他被誉为“中国半导体显示产业之父”。2019年6月，王东升卸任京东方董事长，随后应邀加盟北京奕斯伟科技有限公司，致力于“芯”的事业。2020年2月，北京奕斯伟科技集团重组创立，王东升出任董事长。 张元基(已离职) 原董事会副主席 张元基，北京奕斯伟科技集团董事会副主席，中国三星前任CEO。张元基于1981年加入三星电子半导体事业部，并长期从事半导体研发工作，并于2011年起担任中国三星CEO、三星电子中国战略合作室室长（社长级）等职务，被业内称为三星电子内部的“中国通”，此后于2017年离开三星电子。 
2021-07-30,米文动力,智能硬件,B轮,数千万人民币,时间投资,15000,智能硬件、机器人、机器人,米文动力致力于为企业提供智能边缘计算产品及技术，是英伟达Jetson全球生态的推荐合作伙伴。针对人工智能时代下生产与生活全场景的智能升级需求，公司自主研发了软硬一体的智能边缘计算产品和解决方案。通过提供多种配置的硬件组合和统一的软件堆栈，以及为垂直行业精准打造的解决方案，米文动力有效满足了物流运输、交通管理、车路协同、低速自动驾驶、辅助驾驶、视频分析、工业视觉、智能零售、智慧港口、智慧矿场、智慧医疗、教育、农业等多个领域在智能边缘端算力升级的需求，降低了边缘智能的研发门槛、加速了各领域智能应用的产业化进程。,杨冠文 CEO 杨冠文，米文动力创始人、CEO。毕业于美国加州大学洛杉矶分校材料学系，拥有12年海外经历，曾任光通信上市公司OPLINK的南美业务负责人，曾任华尔街对冲基金Verition Fund的董事总经理，在TMT行业拥有丰富的商业经验。 苏俊 联合创始人&CTO 苏俊，联合创始人&CTO，毕业于中国科学技术大学少年班，拥有多年海外工作经历，曾任职于SONY及NVIDIA，拥有多项发明专利，具备全栈的技术能力。 
2021-07-30,宇树科技,智能硬件,A轮,千万级美元,"顺为资本（领投）, 红杉资本中国",32500,智能硬件、机器人、机器人,宇树科技是一个四足机器人与动力系统部件研发商，专注于研发四足机器人移动平台以及相关动力系统部件，其基本原理是利用摆动曲柄滑块机构，把减速电机的旋转运动转换为驱动腿迈步的往复摆动运动，再利用简单连杆结构控制四条腿模拟动物的步态规律进行爬行运动。,王兴兴 创始人 王兴兴，杭州宇树科技有限公司创始人 
2021-07-29,盖亚环境,传统制造,B+轮,1亿人民币,"元禾控股（领投）, 太浩创投, 敦行资本, 鑫睿投资",50000,传统制造、环保、机器人,盖亚环境是一家专业从事环境修复、土壤改良、环保工程的技术开发和设计施工以及环保设备的研发、生产、销售的环境综合服务供应商，研发了土壤地下水取样修复一体化设备——盖亚环保机器人GY-SR60及一体式模块化设备——盖亚BOX。,程功弼 董事长 国家“千人计划”专家 
2021-07-28,Covariant,智能硬件,C轮,8000万美元,"Index Ventures（领投）, Amplify Partners, 加拿大养老基金(CPPIB), 淡马锡Temasek, Radical Ventures",260000,智能硬件、机器人、机器人,Covariant是一家美国强化学习机器人技术研发商，致力于通过自身研发的人工智能系统赋能机器人，通过人工智能系统的自我学习能力，使机器完成对海量物品的柔性分拣，目前准确率已达到约95%，拣选速度超过了人工，包括德国电力电子批发商等客户，已应用于该技术实现机器人对于电路板、开源元器件的商品分拣。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-27,松灵机器人,智能硬件,A轮,数亿人民币,"红杉资本中国, 五源资本, 祥峰投资Vertex, 香港X科技基金",150000,智能硬件、机器人、机器人,松灵机器人是全球领先的机器人底盘制造商和移动机器人系统解决方案服务商。目前，松灵机器人已经拥有多款适用于不同地形的室内外移动机器人底盘，在载重、续航、速度、运动模式等不同需求场景下实现全矩阵覆盖。同时，松灵机器人还推出了自动驾驶解决方案，平行驾驶解决方案，机器人科研教育套件等移动机器人底盘配套产品，帮助客户在自动驾驶、机械控制、计算机、车辆等领域完成实验验证。,魏基栋 董事长 魏基栋，松灵机器人董事长。 
2021-07-26,玺农科技,智能硬件,Pre-A轮,千万级人民币,,5000,智能硬件、机器人、机器人,玺农科技是一家智能烧烤机器人研发商，智能烧烤机器人集成冰箱、烤箱、清洗、净化、物联网、互联网、视频监控和系统预警等功能于一体，可实现全自动24小时无人自助烤串。公司通过物联网平台，实时远程管理烤串机器人。通过系统可远程实时监控烤串机器人冰箱温度、烤箱温度、库存、机器异常、清洗次数、净化指标。来指导运营人员实时维护机器。用户可通过现场触屏授权登录微信下单，或者通过小程序搜索附近设备提前下单。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-21,Inkbit,智能硬件,B轮,3000万美元,Phoenix Venture Partners（领投）,97500,智能硬件、3D打印、机器人,"Inkbit是一家美国多材料喷墨3D打印机研发商，公司的独特之处就在于使用专有的3D扫描系统在打印完每一层后生成该层的照片。与规划几何形状的任何差异将在后续打印层中进行校正。这些数据还用于训练机器学习算法，使3D打印机能够学习每种材料的特性并做出预测。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-20,可以科技keyirobot,智能硬件,战略投资,数千万美元,"小米集团（领投）, 顺为资本（领投）, 源码资本, 蓝驰创投",97500,智能硬件、机器人、机器人,可以科技是一家可自由组装构型的球形模块化机器人研发商，其产品可以通过APP控制，并由多个独立Cell模块组合而成，能构成不同形状，实现不同功能，如机械摇臂、遥控车、无人机与宠物机器人等。把工业级的控制算法应用于消费级机器人ClicBot，将控制技术、感知技术、人工智能融入艺术设计。用模块化的机器人系统构建了一个让不同地区、不同年龄的用户能够创造内容、分享内容的平台。,杨健勃 创始人兼CEO 杨健勃，曾就读于于北京航空航天大学，在校期间曾获得第二届中国大学生创新创业大赛金奖，现任北京可以科技有限公司创始人兼CEO。 
2021-07-19,uoni由利,智能硬件,A轮,5000万人民币,"清流资本, 梅花创投, 硅港资本",25000,智能硬件、机器人、机器人,uoni由利是一个扫地机器人品牌，主打产品包含扫地机器人、擦窗机器人和电动拖把。目前由利的主营产品为扫地机器人，主要为两款，一款是带有激光巡航的机器人；一款是带有自动更换除尘袋功能的机器人，此外，公司围绕机器清洁场景推出了两款电动拖把产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-19,XYZ Robotics星猿哲,物流,B轮,3500万美元,"今日资本（领投）, 高榕资本, 五源资本, 源码资本",113750,物流、物流装备、机器人,XYZ Robotics星猿哲是一家自动化分拣机器人研发商，专注于从事工业自动化领域机器人产品的研发业务，旗下依托深度学习和机器人操纵技术研发的仓库分拣机器人可将拣选和包装之间的分拨流程自动化，将混杂无序的货品依照订单要求进行拣选，致力于帮助提高仓储和货物分拣配送领域的效率。,周佳骥 CEO 周佳骥，XYZ Robotics联合创始人兼CEO，是卡耐基梅隆大学计算机学院机器人学博士，在读期间，主要研究方向包括：机器人操作、视觉感知、机器学习，曾获 2016 年全球知名机器人学术会议 ICRA 的最佳论文奖，是大会创办 30 年来第三位以第一作者身份获奖的华人。东南大学吴健雄学院2008级校友，曾在GoogleX self-driving car team和Toyota Research Institute 工作。 俞冠廷 CTO 俞冠廷，XYZ Robotics联合创始人、CTO。麻省理工学院电子信息工程学博士，博士期间作为MIT-Princeton联队技术架构总负责人于2015-2017连续三年参加“亚马逊拣选机器人挑战赛”（Amazon Picking Challenge），均获全球前三名。 邢梁立博 COO 邢梁立博，XYZ Robotics联合创始人、COO。硕士毕业于北京大学经济学院，负责商务和运营。 
2021-07-19,知行机器人,物流,A+轮,数千万人民币,"三合创富, 盐南AI基金",15000,物流、物流装备、机器人,知行机器人是一家机器人智能末端执行器生产商，专注智能机器人抓取系统开发、应用及推广，主要产品包括智能末端执行器、智能抓取系统、物流分拣系统、仓储搬运系统、上下料系统等。,白国超 创始人 白国超，知行机器人创始人、CEO。毕业于英国赫里奥特-瓦特大学和北京邮电大学，曾在伦敦国王学院、蒙特利尔大学、帝国理工学院做博士后研究。现为中国青年企业家协会导师制学员，上海电力大学硕士生导师（兼职）、南京航空航天大学硕士生导师（兼职），在机器人及人工智能领域有10余年的研究和工作经历，曾在自适应和可重构机器人领域申请两项国际专利。 
2021-07-16,埃瓦科技,先进制造,A轮,数亿人民币,"中科创星（领投）, 拓金资本, 鼎青投资, 瀚漾投资",150000,先进制造、集成电路、机器人,埃瓦科技是一家聚焦芯片设计和视觉算法的系统方案公司。专注基于自主追萤® 3D AI处理器的消费级/工业级3D视觉模组和解决方案的研发设计，赋能智能门锁门禁、机器人、智能硬件、刷脸支付等人工智能落地场景。截止目前，埃瓦累计申请知识产权百余件，旗下人脸识别模组获得BCTC国家金融支付级安全认证等资质，凭借其高可靠、低功耗、高性能三大特性，已与世界五百强和国内知名企业建立深度合作。埃瓦科技研发中心坐落于上海张江机器人谷，在浙江绍兴和深圳均设立办公室。团队汇聚了AMD、英特尔、博通等国际知名芯片设计公司的高端人才，涵盖算法、芯片、模组产品各方面专家。,王赟 董事长 王赟，埃瓦电子董事长。 
2021-07-16,千巡科技,智能硬件,天使轮,数千万人民币,"梅花创投（领投）, 新势能基金",15000,智能硬件、机器人、机器人,千巡科技是一家专注特种移动机器人技术及人工智能软硬件产品开发的企业，产品涵盖电力巡检机器人、特种排爆机器人、消防机器人，提供机器人应用与运维服务。,王淮卿 董事长 王淮卿，千巡科技(深圳)有限公司董事长 
2021-07-14,墨影科技,智能硬件,A轮,数千万人民币,"天奇创投（领投）, 前海长城基金",15000,智能硬件、机器人、机器人,墨影科技是全球移动协作机器人领域的顶级技术方案及产品提供商，拥有国际领先的技术、 产品和解决方案。专注于先进移动协作机器人的研发、生产和应用集成，并针对先进智能制 造、柔性生产提供全面的多形态机器人综合解决方案。,杨一鸣 董事长 杨一鸣，墨影科技董事长。 
2021-07-13,九四智能,智能硬件,A轮,数千万人民币,广发信德,15000,智能硬件、机器人、机器人,九四智能是一家基于人工智能语音交互和智能决策技术，专注于提升金融客户服务体验的AI科技公司，研发的智能语音决策系统是基于上下文理解可进行多 轮对话的任务型机器人，它能在多场景下理解用户所说所需， 并进行自然流畅对答，可快速完成进行业务办理、解答疑问、 推销产品等任务，为企业减少成本，提高效率及营收。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-12,银星智能,智能硬件,B+轮,1亿人民币,"沄柏资本, 中信证券, 众享资本, 银星投资",50000,智能硬件、机器人、机器人,银星智能是一家家庭服务机器人研发商，致力于家庭用的清洁机器人和服务机器人等产品的研发、生产与销售业务，并向相关企业提供相应的技术解决方案。同时涉及一些其它智能产品，如家用智能宠物链等。,叶力荣 董事长兼总经理 叶力荣深圳市银星智能科技股份有限公司董事长兼总经理 
2021-07-12,小冰,元宇宙,A轮,数亿人民币,"高瓴投资（领投）, 五源资本, Neumann Advisors, IDG资本, GGV纪源资本, 北极光创投, 网易",700000,元宇宙、数字人、机器人,小冰是一个跨平台人工智能机器人，致力于实现跨平台交互，让用户在不同品牌的终端和不同企业的生态中都找到小冰，目前发布了面向个人用户的首个虚拟人类产品线，用户可以自主通过小冰框架，创造并训练其拥有的人工智能主体。,沈向洋 董事长 沈向洋，1966年10月出生于江苏南京，计算机视觉和图形学专家，清华大学高等研究院双聘教授  、美国国家工程院外籍院士、英国皇家工程院外籍院士、微软公司前执行副总裁、第三任微软亚洲研究院院长兼首席科学家 、微软小冰公司的董事长 。 李笛 CEO 李笛，前微软（亚洲）互联网工程院副院长 ，现任小冰公司首席执行官，毕业于清华大学。他领导一支分布在多个国家的全球团队，负责人工智能小冰框架系统的技术研发、产品革新及商业落地，主持公司的日常经营、行政和业务活动。 
2021-07-09,Pickle Robots,智能硬件,A+轮,未透露,Ranpak,65000,智能硬件、机器人、机器人,Pickle Robots是一款低成本的协作式包装处理机器人，可自动完成电子商务供应链中的包装任务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-07-09,傅利叶智能,智能硬件,C+轮,数千万美元,Prosperity7 Ventures（领投）,227500,智能硬件、机器人、机器人,傅利叶智能是一家康复机器人研发商，集成了多种传感器、电机、高速数据采集芯片等，可以精确模拟出实际生活中的力学场景，为肢体功能障碍患者体用多样的目标导向性训练，刺激大脑功能重组，进而恢复肢体功能。,顾捷 CEO 顾捷，上海璟和技创机器人有限公司创始人及CEO，Flexbot创始人。 徐振华(已离职) 原CTO 毕业于上海交通大学，有十多年的机器人从业经验与研发积累，分别在知名外企FANUC机器人公司与GM泛亚汽车研发中心担任高级研发工程师。同时拥有两次创业背景，分别于2012至2015年成为璟和技创机器人联合创始人兼CTO，分别参与研发了Flexbot多体位康复机器人与OS多体位康复机器人，2016年至2018年成为傅利叶智能联合创始人兼CTO，分别研发了M2上肢力反馈机器人与X1下肢外骨骼康复机器人，所研发的产品获得多项发明专利与国际大奖，并成功在市场应用与推广。 
2021-07-08,宾通智能,企业服务,A+轮,近亿人民币,"经纬中国（领投）, 元璟资本, 清流资本",50000,企业服务、前沿技术、机器人,宾通智能是一家以智能算法为核心，提供柔性制造与智慧物流系统解决方案的高科技公司。 BITO主要创始成员来自有着国际顶尖机器人核心技术积累和研发优秀基因的卡内基梅隆大学机器人研究所。BITO掌握人工智能算法、视觉识别感知、机器人软件架构、电子硬件控制等关键技术，赋能各行各业。,龚超慧 创始人 龚超慧，宾通智能创始人、CEO。卡耐基梅隆大学机械工程学博士，哈尔滨工业大学机械设计制造及自动化专业，主攻机器人研究和应用方向，在机器人运动控制和仿生机器人尤其是蛇形机器人研究上颇有成就，研究出复杂多自由度机器人系统的运动规划与控制理论，该技术可以广泛应用于各类机器人系统，并在世界各大学术期刊发表论文四十余篇，其中包括世界顶级期刊PNAS等。 
2021-07-05,松果体机器人,智能硬件,A轮,未透露,"奇绩创坛, 同威创投, 金大智能",10000,智能硬件、机器人、机器人,松果体机器人是一家机器触觉方案服务商，致力于实现高精度的物理表面数字化，解决人工和视觉难以解决的问题。,王茂林 联合创始人 王茂林，深圳市松果体机器人科技有限公司联合创始人，深圳金大智能董事长，拥有完善的智能硬件生产线，市场上多款明星机器人产品的代工者。 苑维然 创始人兼CEO 苑维然，深圳市松果体机器人科技有限公司创始人兼CEO，北京大学力学系博士，INRIA专家工程师，格灵深瞳首席架构师，十年来计算机视觉产业爆发的亲历者。 
2021-07-05,赛特智能,汽车交通,A轮,未透露,中信证券,10000,汽车交通、自动/无人驾驶、机器人,赛特智能是专业的低速无人驾驶全场景解决方案提供商，公司专注于高精度室内外定位及导航、机器视觉和智能集群调度等行业核心技术的研究与创新。已成功开发和落地应用的产品包括智赛拉：医院智能配送机器人、智能感控机器人，以及智赛洁：无人驾驶清扫车等。,李睿 董事长 李睿，赛特智能董事长。 
